id,comment_id,drug_id,sentence_index,sentences,ADR,WD,EF,INF,SSI,DI,Findings,others,rating,category
23,3,lexapro.3,1,"Nausea, Blurred Vision, 3 to 5 hours sleep, Suicidal Thoughts.",1,,,,,,,0,1,ssri
24,3,lexapro.3,2,Be careful with this medication.,,,,,,,,1,1,ssri
25,3,lexapro.3,3,This was my first anti-depressant medication.,,,,,,,,1,1,ssri
26,3,lexapro.3,4,Very scary drug.,,,,,,,,1,1,ssri
27,3,lexapro.3,5,"I was unable to sleep, had blurred vision, and felt sick to my stomach.",1,,,,,,,0,1,ssri
28,3,lexapro.3,6,Unable to eat anything significant for the 3 days.,1,,,,,,,0,1,ssri
29,3,lexapro.3,7,While driving to a friends house crazy thoughts kept happening.,1,,,,,,,0,1,ssri
30,3,lexapro.3,8,Stopped the drug after 2 days and next day was feeling better.,,,,,,,,1,1,ssri
31,3,lexapro.3,9,Would not have been able to work (software developer) if attempting this drug during work week.,1,,,,,,,0,1,ssri
32,3,lexapro.3,10,Currently on Nortriptyline which seems to help.,,,,,,,,1,1,ssri
33,4,lexapro.4,1,Plenty!,,,,,,,,1,1,ssri
34,4,lexapro.4,2,"First 10 days were HORRIBLE, like a looong panic attack with anxiety/nausea.",1,,,,,,,0,1,ssri
35,4,lexapro.4,3,"It calmed down when I got some Xanor for three weeks (was still worse than before lexapro though), after that back to lots of anxiety, derealisation, nausea etc, Also couldn't sleep much, woke at 6.30am with horrible anxiety no matter when I fell asleep the day before.",1,,,,,,,0,1,ssri
36,4,lexapro.4,4,"It didn't help me out, at all.",,,,1,,,,0,1,ssri
37,4,lexapro.4,5,"My anxiety is worse than before, and I've been getting more and more dizzy by the week .",1,,,1,1,!,,0,1,ssri
38,4,lexapro.4,6,"the last three weeks I haven't been able to watch TV since it makes me feel nauseus, and I haven't been outside in two weeks due to the dizziness!",1,,,,,,,0,1,ssri
39,4,lexapro.4,7,"The last week or two I've been feeling nausea all day, mostly due to the dizziness, Everyone's different though, and you should probably give it a try, others are having luck.",1,,,,,,,0,1,ssri
40,4,lexapro.4,8,"I'm tapering it off now, though.",,,,,,,,1,1,ssri
41,5,lexapro.5,1,"Chronic cough, weight gain, no sexual interest.",1,,,,,,,0,1,ssri
42,5,lexapro.5,2,Emergency Room visit with tachycardia and violent vertigo.,1,,,,,,,0,1,ssri
43,5,lexapro.5,3,I would not suggest taking this medication.,,,,,,,,1,1,ssri
44,5,lexapro.5,4,I did experience relief of my depression initially with the 10mg per day dose.,,,,1,1,1,,0,1,ssri
45,5,lexapro.5,5,That quickly turned into a three week period of sleep.,1,,,,,,,0,1,ssri
46,5,lexapro.5,6,I was unable to hold my body vertical.,1,,,,,,,0,1,ssri
47,5,lexapro.5,7,Slept through life and gained weight.,1,,,,,,,0,1,ssri
48,5,lexapro.5,8,The feeling of wellness is gone.,,,,1,,,,0,1,ssri
49,5,lexapro.5,9,Phoned the doctor to report the symptoms; the dose was then increased to 20mg per day.,,,,,,,,1,1,ssri
50,5,lexapro.5,10,"After the third day at that dose I found myself in the ER with vertigo, dizziness, tachycardia, dry mouth, nausea, and a host of other complaints.",1,,,,,,,0,1,ssri
51,5,lexapro.5,11,"After following up with the doctor who prescribed the lexapro, he did not discontinue the drug, just decreased it to 5mg per day.",,,,,,,,1,1,ssri
52,5,lexapro.5,12,The vertigo is rendering me unable to function in daily life causing me to lose work.,1,,,,,,,0,1,ssri
53,5,lexapro.5,13,I am seeing a specialist for the vertigo and undergoing testing which now I have been diagnosed with vestibular neurontitis.,1,,,,,,,0,1,ssri
54,5,lexapro.5,14,My vertigo has not responded to conservative treatment thus far.,1,,,,,,,0,1,ssri
55,5,lexapro.5,15,"I am tapering off the drug as I type this, 5mg every other day now and m",,,,,,,,1,1,ssri
56,6,lexapro.6,1,"Muscle spasms, muscle twitching, muscle soreness, insomnia, mental confusion, flush, brain zaps.",1,,,,,,,0,1,ssri
57,6,lexapro.6,2,I took Lexapro for 3 days in 10mg doses and had severe side effects immediately.,1,,,,,,,0,1,ssri
58,6,lexapro.6,3,"If you have any of the symptoms above, contact your physician immediately.",,,,,,,,1,1,ssri
59,6,lexapro.6,4,These could be dangerous.,,,,,,,,1,1,ssri
60,6,lexapro.6,5,I DO NOT RECOMMEND THIS DRUG.,,,,,,,,1,1,ssri
61,7,lexapro.7,1,I'm sorry this is more about not taking it than about side effects of taking it.,1,,,,,,,0,1,ssri
62,7,lexapro.7,2,"I was given samples today and took one dose before coming to this site, where I learned that insomnia and decreased libido are serious side effects for many people; these are already major, major issues for me, By now, the first feelings of ""tightness"" in my head, dry mouth, and a little bit of jitters have begun.",1,,,,,,,0,1,ssri
63,7,lexapro.7,3,"As a result surely of prior conditions, but I do feel in part because of the drug or its jittery side effects, I've been unable to stop weeping for the past hour.",1,,,,,,,0,1,ssri
64,7,lexapro.7,4,I will probably not have the wherewithal to take another dose.,,,,,,,,1,1,ssri
65,7,lexapro.7,5,"I once took Effexor for 3 years and had trouble getting off of it, one real struggle and then one ok tapering experience finally.",,,,,,,,1,1,ssri
66,7,lexapro.7,6,"I can't imagine going through the withdrawal again, either, so I think I will run scared from this prescription for a while longer, o",,1,,,,,,0,1,ssri
67,8,lexapro.8,1,Extreme Weight Gain 30 pounds.,1,,,,,,,0,1,ssri
68,9,lexapro.9,1,"Excessive perspiration, Erectile dysfunction.",1,,,,,,,0,1,ssri
69,9,lexapro.9,2,"Almost no libido at all, Utterly useless.",1,,,,,,,0,1,ssri
70,10,lexapro.10,1,"Took a while to have an effect on mood obviously,but side-effects alarming:sudden migraines which I had had very infrequently before.",1,,1,,,,,0,1,ssri
71,10,lexapro.10,2,Very big increase in blood pressure which I had never experienced before.,1,,,,,,,0,1,ssri
72,10,lexapro.10,3,"Have your blood pressure checked even if like me, you have never had a problem with it you may be in for a nasty surprise!",1,,,,,,,0,1,ssri
73,11,lexapro.11,1,"Heavy sedation, Jaw Clenching, Inability to organism.",1,,,,,,,0,1,ssri
74,11,lexapro.11,2,Tired it four months.,,,,,,,,1,1,ssri
75,11,lexapro.11,3,Very bad side effects.,1,,,,,,,0,1,ssri
76,11,lexapro.11,4,Did not have a good experience.,,,,,,,,1,1,ssri
77,11,lexapro.11,5,Would not take again.,,,,,,,,1,1,ssri
78,12,lexapro.12,1,"emotionless, Zombie effect.",1,,,,,,,0,1,ssri
79,12,lexapro.12,2,Loss of memory.,1,,,,,,,0,1,ssri
80,12,lexapro.12,3,"When i took lexapro i walked around in a ""zombie"" like state because i would never be happy about anything, but never really sad.",1,,,,,,,0,1,ssri
81,12,lexapro.12,4,"I just kind of felt numb toward all emotion, Also, my memory started lacking and i couldnt remember long periods of time or things i had done.",1,,,,,,,0,1,ssri
82,12,lexapro.12,5,i still have difficulty remembering most of that year and for no particular reason.,1,,,,,,,0,1,ssri
83,13,lexapro.13,1,"Jaw jacking/clenching teeth, headaches, vomitting, waking up in the middle of the night for hours, increase in anxiety, blurred vision.",1,,,,1,,,0,1,ssri
84,13,lexapro.13,2,I started feeling the side effects the fist day i took 10mg.,1,,,,,,,0,1,ssri
85,13,lexapro.13,3,"Crazy dreams and visions, slight insomnia, my teeth are killing me from grinding them and I guess that caused my headaches.",1,,,,,,,0,1,ssri
86,13,lexapro.13,4,Can hardly even read and feel like I'm in a fog or that I'm stoned.,1,,,,,,,0,1,ssri
87,13,lexapro.13,5,Clumsy and at first gave me tons of energy but I think that was the increased anxiety.,1,,1,1,1,!,,0,1,ssri
88,13,lexapro.13,6,"About four hours after my dose it's like I went downhill, my head got very heavy, and that was the foggy state.",1,,,,,,,0,1,ssri
89,13,lexapro.13,7,I haven't noticed any positive changes and the side effects are horrible.,1,,,1,,,,0,1,ssri
90,13,lexapro.13,8,The increase in anxiety has made me stop taking this pill.,1,,,1,1,!,,0,1,ssri
91,13,lexapro.13,9,Xanax or something would do me much better with the Effexor that I am already taking.,,,,,,,,1,1,ssri
92,14,lexapro.14,1,"Fatigue, dizziness, apathy, muscle jerks, jaw clenching, interfered with Thyroid replacement medicine, insomnia.",1,,,,,,,0,1,ssri
93,14,lexapro.14,2,I'm surprised that there were any positive ratings.,,,,,,,,1,1,ssri
94,14,lexapro.14,3,"I took this for two months, hoping that the side effects would ease.",1,,,,,,,0,1,ssri
95,14,lexapro.14,4,Most had except for the apathy and fatigue .,,,,,,,,1,1,ssri
96,14,lexapro.14,5,just wouldn't go away.,,,,,,,,1,1,ssri
97,14,lexapro.14,6,Doctors did not tell me that I needed to increase my Thyroid medicine as recommended by the manufacturer of the thyroid medicine.,,,,,,,,1,1,ssri
98,14,lexapro.14,7,"I became more tired, cold and weak after about 6 weeks so I had to discontinue.",1,,,,,,,0,1,ssri
99,14,lexapro.14,8,The withdrawal process has been very difficult.,,1,,,,,,0,1,ssri
100,14,lexapro.14,9,It apparently doesn't take a long time for this medicine to build up toxic levels in your blood and liver as well as affecting your brain.,,,,,,,,1,1,ssri
101,14,lexapro.14,10,"Even though I tapered down in 1/4 pill increments, the worst withdrawal symptoms happened to me after I completely stopped, Dizziness, headaches, neck pain as well as muscle stiffness throughout the body are main complaints.",,1,,,,,,0,1,ssri
102,14,lexapro.14,11,Why is this product legal?,,,,,,,,1,1,ssri
103,15,lexapro.15,1,"Insomnia, tension, somnolence, loss of memory, jaw movements.",1,,,,,,,0,1,ssri
104,15,lexapro.15,2,"Today is my first day of from the medication after my doctor took it away, I feel human again!",,,,1,,,,0,1,ssri
105,16,lexapro.16,1,"Got fat, hated life.",1,,,,,,,0,1,ssri
106,16,lexapro.16,2,Was so much better once I went off after 10 months and did it cold turkey with NO negative effects.,,,,,,,,1,1,ssri
107,16,lexapro.16,3,Felt almost euphoria going off it.,,,,,,,,1,1,ssri
108,16,lexapro.16,4,Never again with that drug.,,,,,,,,1,1,ssri
109,16,lexapro.16,5,That stuff is poison.,,,,,,,,1,1,ssri
110,16,lexapro.16,6,Avoid at all costs and explore other options.,,,,,,,,1,1,ssri
111,17,lexapro.17,1,"night sweats, major mood swings and moment of over excitement combined with rudeness.",1,,,,,,,0,1,ssri
112,17,lexapro.17,2,head felt completely detached from body and feeling suicidal.,1,,,,,,,0,1,ssri
113,17,lexapro.17,3,these doctors really must be getting big perks by pushing this crap on people.,,,,,,,,1,1,ssri
114,17,lexapro.17,4,i know that drugs have different results with different people.,,,,,,,,1,1,ssri
115,17,lexapro.17,5,"but too many patients had same discomforts, yes, i had the runs too.",,,,,,,,1,1,ssri
116,18,lexapro.18,1,"Headaches, Nausea, Fatigue, Interrupted Sleep, Vivid Dreams, Weight Gain.",1,,,,,,,0,1,ssri
117,18,lexapro.18,2,"The side effects were most severe going on and coming off the drug, with all but the headaches and nausea staying with me throughout the entire experience.",,1,,,,,,0,1,ssri
118,18,lexapro.18,3,"There was no improvement in the level of my anxiety, depression, or OCD.",,,,1,1,!,,0,1,ssri
119,19,lexapro.19,1,Be very careful with this .,,,,,,,,1,1,ssri
120,19,lexapro.19,2,I took it for 3 months believe that its affect on the mind is indirectly linked to the immune system functioning .,,,,,,,,1,1,ssri
121,19,lexapro.19,3,"if you are an othewise phyically healthy human you may risk compromising the proper functioning of the T-cells which may have UKNOWN consequences, the worst being autoimmunce disease which will make you very sick with flu-like symptoms and unable to get better,please beware.",1,,,,,,,0,1,ssri
122,19,lexapro.19,4,I would only recommend that suicidal people with absolutely NO HOPE whatsoever take this.,,,,,,,,1,1,ssri
123,19,lexapro.19,5,"The risks of such dangerous and hidden physiological side effects are in NO WAY worth the potential positive effects of so-called subjective ""mental stability"" which is merely illusory and masks the hidden danger.",1,,,,,,,0,1,ssri
124,20,lexapro.20,1,Heart burn.,1,,,,,,,0,1,ssri
125,20,lexapro.20,2,I had to take a heart burn relief medication each day I took Lexapro.,1,,,,,,,0,1,ssri
126,20,lexapro.20,3,Will try another anti-depressant medication.,,,,,,,,1,1,ssri
127,21,lexapro.21,1,I had pain all over my body!,1,,,,,,,0,1,ssri
128,21,lexapro.21,2,My legs were the worst and my left leg felt like it was on fire!,1,,,,,,,0,1,ssri
129,21,lexapro.21,3,"It hurt so bad, I ended up in the E,R.",1,,,,,,,0,1,ssri
130,21,lexapro.21,4,Because I thought that I might have a blood clot.,,,,,,,,1,1,ssri
131,21,lexapro.21,5,The doctor told me that it was the Lexapro's side effects.,,,,,,,,1,1,ssri
132,21,lexapro.21,6,"my arms felt like needles are poking them, Felt like a knife in my shoulder, I got chills easily, felt like my legs were not getting enough circulation, it felt like my blood had carbonation in it!",1,,,,,,,0,1,ssri
133,21,lexapro.21,7,This is the most awful feeling!,1,,,,,,,0,1,ssri
134,21,lexapro.21,8,"I am still having aches, pains, pins and needles throughout my entire body after being off of the Lexapro for a few days.",1,,,,,,,0,1,ssri
135,21,lexapro.21,9,I hope and pray it subsides.,,,,,,,,1,1,ssri
136,21,lexapro.21,10,Please DO NOT TAKE THIS DRUG!,,,,,,,,1,1,ssri
137,21,lexapro.21,11,I would rather have panic attacks and be depressed than take another pill of Lexapro!,,,,,1,1,,0,1,ssri
138,22,lexapro.22,1,"Weight gain, HAIR LOSS, increased depression, fatigue, lethargy.",1,,,1,1,,,0,1,ssri
139,22,lexapro.22,2,"I switched from Cymbalta to Lexapro and after approximately 30 days, I began feeling very bad.",1,,,1,,,,0,1,ssri
140,22,lexapro.22,3,I gained 13 lbs in 6 weeks and could not get out of bed after 60 days.,1,,,,,,,0,1,ssri
141,22,lexapro.22,4,My hair started falling out by the handful.,1,,,,,,,0,1,ssri
142,22,lexapro.22,5,I quit cold turkey last week and I feel a lot better today but hair loss continues.,,,,,,,,1,1,ssri
143,22,lexapro.22,6,Doc said that should reverse within a month.,,,,,,,,1,1,ssri
144,22,lexapro.22,7,Very negative experience.,,,,,,,,1,1,ssri
145,23,lexapro.23,1,"Reduced cognition, fatigue, addiction.",1,1,,,,,,0,1,ssri
146,23,lexapro.23,2,The med was okay until side effects had negative impacts and it was extremely difficult to get off of.,1,1,1,,,,,0,1,ssri
147,23,lexapro.23,3,After becoming addicted to a second Lundbeck med I refuse to ever use one of its products gain.,,1,,,,,,0,1,ssri
148,23,lexapro.23,4,It might be worth use by others but it is very hard to stop taking it; not a plus.,,1,,,,,,0,1,ssri
149,24,lexapro.24,1,From the moment I swallowed this pill I experienced a dry mouth and dry eyes.,1,,,,,,,0,1,ssri
150,24,lexapro.24,2,But more alarming was the sensation of pressure behind my eyes-like they were going to pop out!,1,,,,,,,0,1,ssri
151,24,lexapro.24,3,"Also I had a severe inablility to concentrate which made it impossible to do my job,I am a Registered Nurse.",1,,,,,,,0,1,ssri
152,24,lexapro.24,4,I also found myself making a bizarre sucking motion with my mouth-possibly from the dryness?,1,,,,,,,0,1,ssri
153,24,lexapro.24,5,I took myself off this drug and started a strict regimen of exercise and improved my diet which did wonders for my depression and anxiety.,,,,,1,,,0,1,ssri
154,24,lexapro.24,6,Do not take this drug.,,,,,,,,1,1,ssri
155,25,lexapro.25,1,"Disturbed sleep, exhaustion, nausea, dizzyness, jaw-clenching and increased anxiety.",1,,,1,1,,,0,1,ssri
156,25,lexapro.25,2,I took 5mg for three days and when my Dr. heard what it was doing to me she said to stop it immediately.,,,,,,,,1,1,ssri
157,25,lexapro.25,3,"It's been four days since I discontinued, and I'm still wiped out and dizzy with flu-like symptoms.",1,,,,,,,0,1,ssri
158,25,lexapro.25,4,She had suggested I add Lexapro to my Remeron to boost the serotonin effects.,,,,,,,,1,1,ssri
159,25,lexapro.25,5,I'll just stick with the Remeron .,,,,,,,,1,1,ssri
160,25,lexapro.25,6,so much gentler on my system.,,,,,,,,1,1,ssri
161,25,lexapro.25,7,"Everyone is different, but for me Lexapro was like some kind of torture device, Can't wait for it to leave my system.",1,,,,,,,0,1,ssri
162,26,lexapro.26,1,1)  After two to three hours vomit 2)  Stiff muscles (Lack of oxygen?),1,,,,,,,0,1,ssri
163,26,lexapro.26,2,"3)  Spacey, out of sync with time (as in Where did that tree come from?",1,,,,,,,0,1,ssri
164,26,lexapro.26,3,What am I doing?),,,,,,,,1,1,ssri
165,26,lexapro.26,4,"4)  Weird, (as in How did that tree get there?",1,,,,,,,0,1,ssri
166,26,lexapro.26,5,"), 5)  Weak muscles 6)  Cant catch breath 7)  Listless 8)  Unmotivated 9)  Difficulty getting moving 10)  Reaction time slowed, [as in Put your hand on your solar plexus (Huh?",1,,,,,,,0,1,ssri
167,26,lexapro.26,6,What?,,,,,,,,1,1,ssri
168,26,lexapro.26,7,Hand?)],,,,,,,,1,1,ssri
169,26,lexapro.26,8,"11)  Forgetful, stupid (its Sunday, right?)",1,,,,,,,0,1,ssri
170,26,lexapro.26,9,12)  Depressed (as in Whats the use?).,1,,,1,,,,0,1,ssri
171,26,lexapro.26,10,Works on 30% of the people who take it after eight weeks.,,,,,,,,1,1,ssri
172,26,lexapro.26,11,"After eight weeks of the above I sincerely doubt that anybody taking lexapro can know which way is up, much less notice a decrease in depression.",,,,1,1,!,,0,1,ssri
173,27,lexapro.27,1,suidical feelings.,1,,,,,,,0,1,ssri
174,27,lexapro.27,2,"I took this medication for a month before I started getting extreme suicidal feelings, which I had not had before taking it.",1,,,,,,,0,1,ssri
175,28,lexapro.28,1,"Racing heart, severe anxiety, panic, nausea, speeded-up metabolism.",1,,,,,,,0,1,ssri
176,28,lexapro.28,2,"It was brilliant for 2 weeks, except for some queasiness.",1,,1,,,,,0,1,ssri
177,28,lexapro.28,3,But into the 3rd week I began to wake in the night with very scary heart palpitations.,1,,,,,,,0,1,ssri
178,28,lexapro.28,4,"After a few nights of this (while feeling good during the day), the palpitations and subsequent panic were still there in the morning and continued throughout the day.",1,,,,,,,0,1,ssri
179,28,lexapro.28,5,I stopped taking it 3 days ago .,,,,,,,,1,1,ssri
180,28,lexapro.28,6,in addition to stopping caffeine on doctor's orders .,,,,,,,,1,1,ssri
181,28,lexapro.28,7,"and I still have occasional heart flutters, a clenched stomach, and the anxiety that goes with that.",1,,,,,,,0,1,ssri
182,28,lexapro.28,8,I also think Lexapro and alcohol were a bad mix for me.,1,,,,,,,0,1,ssri
183,28,lexapro.28,9,I'd rather be depressed.,,,,,1,,,0,1,ssri
184,29,lexapro.29,1,"jittery, disconnected feelings, suicidal thoughts, unable to function.",1,,,,,,,0,1,ssri
185,29,lexapro.29,2,I took one dose of this med and was lucky to be able to drive home from work.,1,,,,,,,0,1,ssri
186,29,lexapro.29,3,Within the first hour I had to call a friend to come over and sit with me while I waited for the effects to be over (which took hours).,,,,,,,,1,1,ssri
187,29,lexapro.29,4,"Worse than the worst ""bad trip"" you can imagine.",,,,,,,,1,1,ssri
188,29,lexapro.29,5,"Suicidal thoughts when I had NEVER had those thoughts before, Super scary.",1,,,,,,,0,1,ssri
189,29,lexapro.29,6,"I would never take this again, Total poison!",,,,,,,,1,1,ssri
190,29,lexapro.29,7,BEWARE!,,,,,,,,1,1,ssri
191,30,lexapro.30,1,"Insomnia, irregular heartbeat, anxiety times 1000, suicidal depression.",1,,,1,,,,0,1,ssri
192,30,lexapro.30,2,I'm in serious pain right now.,1,,,,,,,0,1,ssri
193,30,lexapro.30,3,I'm about to go to the hospital cause this drug is killing me.,1,,,,,,,0,1,ssri
194,30,lexapro.30,4,"If I survive I'll write another comment, Please don't take it!",,,,,,,,1,1,ssri
195,31,lexapro.31,1,"vivid nightmares, sweats, higher anxiety levels, memory problems, concentration problems, teeth grinding and clenching of jaws.",1,,,,,,,0,1,ssri
196,31,lexapro.31,2,"After 1 year of taking this drug, I stopped it cold turkey.",,,,,,,,1,1,ssri
197,31,lexapro.31,3,"I was taking 10 mg. After a lifetime of perfect dental checkups and having beautiful teeth, I now have 50 percent bone loss in my jaw because of the teeth grinding.",1,,,,,,,0,1,ssri
198,31,lexapro.31,4,It's signifigant to note that I had been wearing a night guard that was supposed to protect the teeth during this past year.,1,,,,,,,0,1,ssri
199,31,lexapro.31,5,"I see my dentist for regular checkups and cleanings every 4 months, and I get x-rays every year.",,,,,,,,1,1,ssri
200,31,lexapro.31,6,"My dentist is aghast, Stress and/or anxiety and teeth grinding can cause bone loss.",,,,,,,,1,1,ssri
201,31,lexapro.31,7,"I was taking Ativan, Ambien, Atenolol and Lexapro for the anxiety and depression and have quit them all cold turkey.",,,,,1,1,,0,1,ssri
202,31,lexapro.31,8,"Withdrawal lasted about 2 weeks, but I feel tons better now.",,1,,,,,,0,1,ssri
203,31,lexapro.31,9,Not worth the side effects.,1,,,,,,,0,1,ssri
204,32,lexapro.32,1,"Constant yawning,severe tremors,headache, lost all sex drive the first day, couldn't orgasm if I tried, terrible jaw clenching, helped somewhat with social anxiety, but general anxiety got worse, panic attacks increased,.",1,,1,1,1,1,,0,1,ssri
205,32,lexapro.32,2,I was given this med by doc along with Wellbutrin.,,,,,,,,1,1,ssri
206,32,lexapro.32,3,"The sexual side effects were supposed to be countered by the Welly, Didn't happen.",1,,,,,,,0,1,ssri
207,32,lexapro.32,4,I have not had sex for 6 months which is putting a strain on the relationship.,1,,,,,,,0,1,ssri
208,32,lexapro.32,5,"SO a little annoyed, but she has just gone through menopause and doesn't seem to be in the mood anyway.",,,,,,,,1,1,ssri
209,32,lexapro.32,6,I have quit cold turkey about 3 weeks ago hoping some sex drive will come back.,,,,,,,,1,1,ssri
210,32,lexapro.32,7,"I am feeling some withdrawl now, I cry at anything.",,1,,,,,,0,1,ssri
211,32,lexapro.32,8,"Anxiety is now though the roof, hands feet sweating, and my memory sucks.",,1,,,,,,0,1,ssri
212,32,lexapro.32,9,I cant tolerate SSRI's so will have to try something else.,,,,,,,,1,1,ssri
213,33,lexapro.33,1,"dry mouth, severe thirst, hot flashes all over my body, tightness in my chest, severe diahrea, fuzzy mind, freaquent urination, lost 25 pounds in two weeks, muscle aches, flu like symptons, stomach cramps and tiredness.",1,,,,,,,0,1,ssri
214,33,lexapro.33,2,i experienced all these symptoms after just one 10mg pill and still sufering the side effects two weeks later.,1,,,,,,,0,1,ssri
215,33,lexapro.33,3,i would not recomend anyone take this medication for any reason.,,,,,,,,1,1,ssri
216,33,lexapro.33,4,"it's too dangerous, unless you have a doctor who will listen to you.",,,,,,,,1,1,ssri
217,34,lexapro.34,1,I HATED THIS PRODUCT.,,,,,,,,1,1,ssri
218,34,lexapro.34,2,i took the 10 mg once and a right now a week and a half later.,,,,,,,,1,1,ssri
219,34,lexapro.34,3,"i have noticed increases in my headaches, the front of my brain burns and i've noticed an increase in suicidal thoughts and anxiety.",1,,,1,1,!,,0,1,ssri
220,34,lexapro.34,4,I would not recommend taking this at all.,,,,,,,,1,1,ssri
221,34,lexapro.34,5,i wouldn't wish this on my worst enemy.,,,,,,,,1,1,ssri
222,34,lexapro.34,6,"God help me, DON'T TAKE IT.",,,,,,,,1,1,ssri
223,35,lexapro.35,1,extreme lethargy; hungry more than usual; weight gain; zero motivation; memory issues (short term memory negatively affected); hopeless; social anxiety magnified.,1,,,1,1,!,,0,1,ssri
224,35,lexapro.35,2,"I took 10 mg for one month and mainly noticed the fatigue as the biggest side effect, once I was upped to 20 mg though all of the other side effects seemed to take hold of my life.",1,,,,,,,0,1,ssri
225,35,lexapro.35,3,Not a good experience at all for me.,,,,,,,,1,1,ssri
226,36,lexapro.36,1,"I didn't take Lexapro long enough to evaluate it for its intended purpose, because I found the sexual side effects intolerable.",1,,,,,,,0,1,ssri
227,36,lexapro.36,2,"I not only lost the ability to orgasm, but stopped having even the slightest feelings of arousal.",1,,,,,,,0,1,ssri
228,36,lexapro.36,3,"Near the end of the two weeks I could feel my frustration as a sort of dull, heavy ache in my stomach, but I couldn't do anything about it because I was basically numb, a nonsexual being.",1,,,,,,,0,1,ssri
229,36,lexapro.36,4,"It was frankly disturbing, and I think going off the drug and feeling healthy and whole again has done more for my depression than any medication ever has.",,,,,1,1,,0,1,ssri
230,36,lexapro.36,5,"I've heard great things about what this drug can do for depression, but the side effects are a real possibility.",1,,,,1,1,,0,1,ssri
231,36,lexapro.36,6,Just make sure you consider whether or not they are worth it for you.,,,,,,,,1,1,ssri
232,37,lexapro.37,1,"Increased anxiety, SERIOUS constipation (for which even laxatives and epsom salts barely helped) and stomach cramping, my stomach hurt all the time, disturbed sleep and trouble falling asleep, fatigue, headaches.",1,,,1,1,,,0,1,ssri
233,37,lexapro.37,2,"Had worsened depression and suicidal thoughts after going off this med- don't know if it's due to the Lexapro or my cycle of depression, just seems worth noting.",,1,,1,1,!,,0,1,ssri
234,37,lexapro.37,3,I couldn't get past the side effects- have no idea if it would've worked for me.,1,,,1,,,,0,1,ssri
235,38,lexapro.38,1,"suicidal thoughts, mood swings, difficulty to concentrate.",1,,,,,,,0,1,ssri
236,38,lexapro.38,2,I advice people go to this webcite ( the link was removed because of privacy protection)  and see what TAAT can do.,,,,,,,,1,1,ssri
237,39,lexapro.39,1,"GAINED ONE POUND A WEEK for six months, Yep, 30 POUNDS.",1,,,,,,,0,1,ssri
238,39,lexapro.39,2,"Been off of it for eight months, now bigger, have high BP and pre-diabetes because of the weight gain.",1,,,,,,,0,1,ssri
239,39,lexapro.39,3,I want to sue.,,,,,,,,1,1,ssri
240,39,lexapro.39,4,"Before I got any fatter, I stopped taking it and my metabolism is MESSED UP.",1,,,,,,,0,1,ssri
241,39,lexapro.39,5,"I eat so much less than I used to, and still can't seem to lose the weight I gained while on Lexapro.",1,,,,,,,0,1,ssri
